1,46.0778
2,45.1658
3,44.9425
4,44.8637
5,45.005
6,44.6164
7,44.7047
8,44.8926
9,44.9494
10,44.7338
11,45.0006
12,44.7509
13,44.6479
14,44.8242
15,44.6261
16,44.811
17,44.7142
18,44.8611
19,44.5928
20,45.0097
21,44.775
22,45.191
23,44.7879
24,44.8269
25,44.761
26,44.5691
27,44.8637
28,44.6319
29,44.6201
30,44.8851
31,44.571
32,45.0051
33,44.7995
34,44.7512
35,44.9381
36,44.7349
37,44.9836
38,44.6067
39,45.1431
40,44.6771
41,44.7784
42,44.8932
43,44.9988
44,44.8302
45,44.7517
46,44.7245
47,44.4854
48,44.5936
49,44.8088
50,44.8237
51,45.0126
52,45.0268
53,44.7886
54,44.7716
55,44.2963
56,44.7028
57,44.7568
58,44.6238
59,45.0958
60,44.6527
61,44.7683
62,44.9089
63,44.8889
64,44.7886
65,44.6855
66,44.8095
67,44.7859
68,44.6943
69,45.0428
70,44.6175
71,44.6866
72,45.0825
73,44.7784
74,44.5646
